Centro Nacional de Control de Energia
Precios de Energia en Nodos Distribuidos del MDA
Sistema Interconectado Nacional
Reporte Mensual
Mes de Septiembre de 2020
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 03/Octubre/2020 08:00:06 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh),
2020-09-01,4,CABORCA,613.25,596.45,-18.57,35.37
2020-09-01,5,CABORCA,597.6,598.4,-26.05,25.25
2020-09-01,6,CABORCA,589.92,595.35,-30,24.57
2020-09-01,7,CABORCA,610.65,596.83,-45.34,59.16
2020-09-01,8,CABORCA,558.94,573.41,-58.93,44.46
2020-09-01,9,CABORCA,555.55,576.71,-65.93,44.76
2020-09-01,10,CABORCA,532.3,585.35,-97.3,44.25
2020-09-01,11,CABORCA,491.21,575.6,-101.6,17.22
2020-09-01,12,CABORCA,489.97,577.22,-90.94,3.69
2020-09-01,13,CABORCA,513.04,584.21,-87.47,16.3
2020-09-01,14,CABORCA,531.23,584.5,-80.71,27.44
2020-09-01,15,CABORCA,550.97,582,-75.56,44.53
2020-09-01,16,CABORCA,575.19,592.39,-62,44.79
2020-09-01,17,CABORCA,527.26,606.1,-52.84,-26
2020-09-01,18,CABORCA,585.66,597.51,-54.2,42.36
2020-09-01,19,CABORCA,576.3,583.41,-51.59,44.49
2020-09-01,20,CABORCA,628.65,599.06,-28.98,58.57
2020-09-01,21,CABORCA,655.86,617.8,-15.1,53.16
2020-09-01,22,CABORCA,708.26,628.64,16.02,63.6
2020-09-01,23,CABORCA,688.45,623.8,1.64,63.01
2020-09-01,24,CABORCA,677.19,614.04,4.2,58.96
2020-09-01,1,CAMARGO,716.67,616.06,53.98,46.63
2020-09-01,2,CAMARGO,699.18,608.75,37.23,53.2
2020-09-01,3,CAMARGO,673.12,593.1,30.58,49.45
2020-09-01,4,CAMARGO,656.49,596.45,25.89,34.16
2020-09-01,5,CAMARGO,642.8,598.4,20.01,24.38
2020-09-01,6,CAMARGO,635.11,595.35,16.03,23.73
2020-09-01,7,CAMARGO,661.44,596.83,7.48,57.13
2020-09-01,8,CAMARGO,613.58,573.41,4.67,35.5
2020-09-01,9,CAMARGO,613.26,576.71,.81,35.73
2020-09-01,10,CAMARGO,608.7,585.35,-12.04,35.39
