fecha_hora,precio,ds,precio_predicho
2020-01-04 01:00:00,513.31,2020-01-04 01:00:00,617.5789547110154
2020-01-04 02:00:00,463.36,2020-01-04 02:00:00,525.4116796336783
2020-01-04 03:00:00,433.17,2020-01-04 03:00:00,458.0609515355059
2020-01-04 04:00:00,432.88,2020-01-04 04:00:00,419.8106461688325
2020-01-04 05:00:00,418.5,2020-01-04 05:00:00,402.84103325220906
2020-01-04 06:00:00,429.17,2020-01-04 06:00:00,397.2836648500716
2020-01-04 07:00:00,431.12,2020-01-04 07:00:00,397.2941866936863
2020-01-04 08:00:00,455.85,2020-01-04 08:00:00,402.26921493504403
2020-01-04 09:00:00,480.76,2020-01-04 09:00:00,413.33231663280975
2020-01-04 10:00:00,507.68,2020-01-04 10:00:00,428.9925376502334
2020-01-04 11:00:00,508.35,2020-01-04 11:00:00,444.43191602543436
2020-01-04 12:00:00,499.08,2020-01-04 12:00:00,455.3120202876034
2020-01-04 13:00:00,521.4,2020-01-04 13:00:00,461.962629382316
2020-01-04 14:00:00,518.22,2020-01-04 14:00:00,468.55406571287006
2020-01-04 15:00:00,484.89,2020-01-04 15:00:00,478.02182630051374
2020-01-04 16:00:00,488.6,2020-01-04 16:00:00,488.8280188897763
2020-01-04 17:00:00,480.59,2020-01-04 17:00:00,497.5452173124809
2020-01-04 18:00:00,518.32,2020-01-04 18:00:00,504.98529831450725
2020-01-04 19:00:00,590.29,2020-01-04 19:00:00,518.5127290750346
2020-01-04 20:00:00,540.4,2020-01-04 20:00:00,546.346416363395
2020-01-04 21:00:00,538.64,2020-01-04 21:00:00,587.4416187301747
2020-01-04 22:00:00,540.36,2020-01-04 22:00:00,623.7854772287769
2020-01-04 23:00:00,536.25,2020-01-04 23:00:00,626.1493340643439
2020-01-05 00:00:00,448.44,2020-01-05 00:00:00,579.3838818803201
2020-01-05 01:00:00,319.07,2020-01-05 01:00:00,500.78262010144954
2020-01-05 02:00:00,303.62,2020-01-05 02:00:00,422.9434150304363
2020-01-05 03:00:00,301.18,2020-01-05 03:00:00,366.51451517262325
2020-01-05 04:00:00,241.75,2020-01-05 04:00:00,334.36295289837
2020-01-05 05:00:00,238.86,2020-01-05 05:00:00,319.85055547153854
2020-01-05 06:00:00,238.44,2020-01-05 06:00:00,314.95128672377956
2020-01-05 07:00:00,248.0,2020-01-05 07:00:00,314.9828593141505
2020-01-05 08:00:00,233.53,2020-01-05 08:00:00,319.4807773247753
2020-01-05 09:00:00,217.07,2020-01-05 09:00:00,329.3927287084245
2020-01-05 10:00:00,223.4,2020-01-05 10:00:00,343.6272943723005
2020-01-05 11:00:00,221.31,2020-01-05 11:00:00,358.4241384634915
2020-01-05 12:00:00,319.89,2020-01-05 12:00:00,370.3176469637613
2020-01-05 13:00:00,321.72,2020-01-05 13:00:00,379.5321506194444
2020-01-05 14:00:00,315.5,2020-01-05 14:00:00,389.45681915234314
2020-01-05 15:00:00,223.31,2020-01-05 15:00:00,402.5843771764452
2020-01-05 16:00:00,315.65,2020-01-05 16:00:00,417.7229379166749
2020-01-05 17:00:00,329.12,2020-01-05 17:00:00,431.9729389501969
2020-01-05 18:00:00,428.12,2020-01-05 18:00:00,445.9787267342115
2020-01-05 19:00:00,536.92,2020-01-05 19:00:00,466.3077014159922
2020-01-05 20:00:00,701.0,2020-01-05 20:00:00,500.802002077054
2020-01-05 21:00:00,683.13,2020-01-05 21:00:00,549.2737223796508
2020-01-05 22:00:00,679.43,2020-01-05 22:00:00,595.3295183108099
2020-01-05 23:00:00,476.55,2020-01-05 23:00:00,610.2388851330362
2020-01-06 00:00:00,405.62,2020-01-06 00:00:00,576.7931910609634
2020-01-06 01:00:00,338.34,2020-01-06 01:00:00,509.32708101396594
2020-01-06 02:00:00,335.1,2020-01-06 02:00:00,439.4549293603728
2020-01-06 03:00:00,235.7,2020-01-06 03:00:00,388.97724928058943
2020-01-06 04:00:00,233.68,2020-01-06 04:00:00,362.31937030724384
2020-01-06 05:00:00,229.2,2020-01-06 05:00:00,353.6917007700176
2020-01-06 06:00:00,336.84,2020-01-06 06:00:00,355.155942909667
2020-01-06 07:00:00,404.18,2020-01-06 07:00:00,361.8997286109371
2020-01-06 08:00:00,445.77,2020-01-06 08:00:00,373.62549811948895
2020-01-06 09:00:00,468.2,2020-01-06 09:00:00,391.6536590274115
2020-01-06 10:00:00,471.64,2020-01-06 10:00:00,414.8835039827672
2020-01-06 11:00:00,491.36,2020-01-06 11:00:00,438.82929968547126
2020-01-06 12:00:00,494.48,2020-01-06 12:00:00,459.0959936026221
2020-01-06 13:00:00,510.94,2020-01-06 13:00:00,475.71260696034045
2020-01-06 14:00:00,522.0,2020-01-06 14:00:00,492.75252852606263
2020-01-06 15:00:00,512.83,2020-01-06 15:00:00,513.315287484919
2020-01-06 16:00:00,512.57,2020-01-06 16:00:00,535.8519894394842
2020-01-06 17:00:00,539.45,2020-01-06 17:00:00,556.5562575547294
2020-01-06 18:00:00,554.99,2020-01-06 18:00:00,576.1423769023415
2020-01-06 19:00:00,815.92,2020-01-06 19:00:00,603.0084652798107
2020-01-06 20:00:00,860.11,2020-01-06 20:00:00,647.1969594514825
2020-01-06 21:00:00,832.29,2020-01-06 21:00:00,708.25086156178
2020-01-06 22:00:00,801.58,2020-01-06 22:00:00,764.7618882434457
2020-01-06 23:00:00,782.81,2020-01-06 23:00:00,779.8695499195775
2020-01-07 00:00:00,489.61,2020-01-07 00:00:00,732.3532130363349
2020-01-07 01:00:00,438.11,2020-01-07 01:00:00,641.7178923078193
2020-01-07 02:00:00,417.14,2020-01-07 02:00:00,548.8079551726671
2020-01-07 03:00:00,412.09,2020-01-07 03:00:00,480.9991902649027
2020-01-07 04:00:00,405.11,2020-01-07 04:00:00,443.2311535557466
2020-01-07 05:00:00,404.63,2020-01-07 05:00:00,427.7060646000316
2020-01-07 06:00:00,414.76,2020-01-07 06:00:00,424.277424982761
2020-01-07 07:00:00,437.43,2020-01-07 07:00:00,426.897302897173
2020-01-07 08:00:00,477.94,2020-01-07 08:00:00,435.04423396800536
